Country,Production,Consumption
Angola,25672,2384
Angola,25672,2473
Angola,20505,2030
Angola,20505,2077
Angola,20505,2119
Angola,20505,2173
Angola,20505,2245
Angola,20505,2303
Angola,20505,2345
Angola,20505,2407
Angola,20505,2384
Angola,20505,2473
Angola,28857,2030
Angola,28857,2077
Angola,28857,2119
Angola,28857,2173
Angola,28857,2245
Angola,28857,2303
Angola,28857,2345
Angola,28857,2407
Angola,28857,2384
Angola,28857,2473
Benin,7963,2461
Benin,7963,2435
Benin,7963,2450
Benin,7963,2564
Benin,7963,2521
Benin,7963,2565
Benin,7963,2555
Benin,7963,2598
Benin,7963,2610
Benin,7963,2619
Benin,7764,2461
Benin,7764,2435
Benin,7764,2450
Benin,7764,2564
Benin,7764,2521
Benin,7764,2565
Benin,7764,2555
Benin,7764,2598
Benin,7764,2610
Benin,7764,2619
Benin,7110,2461
Benin,7110,2435
Benin,7110,2450
Benin,7110,2564
Benin,7110,2521
Benin,7110,2565
Benin,7110,2555
Benin,7110,2598
Benin,7110,2610
Benin,7110,2619
Benin,7679,2461
Benin,7679,2435
Benin,7679,2450
Benin,7679,2564
Benin,7679,2521
Benin,7679,2565
Benin,7679,2555
Benin,7679,2598
Benin,7679,2610
Benin,7679,2619
Benin,8723,2461
Benin,8723,2435
Benin,8723,2450
Benin,8723,2564
Benin,8723,2521
Benin,8723,2565
Benin,8723,2555
Benin,8723,2598
Benin,8723,2610
Benin,8723,2619
Benin,9235,2461
Benin,9235,2435
Benin,9235,2450
Benin,9235,2564
Benin,9235,2521
Benin,9235,2565
Benin,9235,2555
Benin,9235,2598
Benin,9235,2610
Benin,9235,2619
Benin,9200,2461
Benin,9200,2435
Benin,9200,2450
Benin,9200,2564
Benin,9200,2521
Benin,9200,2565
Benin,9200,2555
Benin,9200,2598
Benin,9200,2610
Benin,9200,2619
Benin,9735,2461
Benin,9735,2435
Benin,9735,2450
Benin,9735,2564
Benin,9735,2521
Benin,9735,2565
Benin,9735,2555
Benin,9735,2598
Benin,9735,2610
Benin,9735,2619
Benin,9797,2461
Benin,9797,2435
Benin,9797,2450
Benin,9797,2564
Benin,9797,2521
Benin,9797,2565
Benin,9797,2555
Benin,9797,2598
Benin,9797,2610
Benin,9797,2619
Benin,10866,2461
Benin,10866,2435
Benin,10866,2450
Benin,10866,2564
Benin,10866,2521
Benin,10866,2565
Benin,10866,2555
Benin,10866,2598
Benin,10866,2610
Benin,10866,2619
Botswana,461,2191
Botswana,461,2198
Botswana,461,2150
Botswana,461,2166
Botswana,461,2184
Botswana,461,2199
Botswana,461,2234
Botswana,461,2273
Botswana,461,2342
Botswana,461,2326
Botswana,460,2191
Botswana,460,2198
Botswana,460,2150
Botswana,460,2166
Botswana,460,2184
Botswana,460,2199
Botswana,460,2234
Botswana,460,2273
Botswana,460,2342
Botswana,460,2326
Botswana,454,2191
Botswana,454,2198
Botswana,454,2150
Botswana,454,2166
Botswana,454,2184
Botswana,454,2199
Botswana,454,2234
Botswana,454,2273
Botswana,454,2342
Botswana,454,2326
Botswana,439,2191
Botswana,439,2198
Botswana,439,2150
Botswana,439,2166
Botswana,439,2184
Botswana,439,2199
Botswana,439,2234
Botswana,439,2273
Botswana,439,2342
Botswana,439,2326
Botswana,470,2191
Botswana,470,2198
Botswana,470,2150
Botswana,470,2166
Botswana,470,2184
Botswana,470,2199
Botswana,470,2234
Botswana,470,2273
Botswana,470,2342
Botswana,470,2326
Botswana,484,2191
Botswana,484,2198
Botswana,484,2150
Botswana,484,2166
Botswana,484,2184
Botswana,484,2199
Botswana,484,2234
Botswana,484,2273
Botswana,484,2342
Botswana,484,2326
Botswana,503,2191
Botswana,503,2198
Botswana,503,2150
Botswana,503,2166
Botswana,503,2184
Botswana,503,2199
Botswana,503,2234
Botswana,503,2273
Botswana,503,2342
Botswana,503,2326
Botswana,539,2191
Botswana,539,2198
Botswana,539,2150
Botswana,539,2166
Botswana,539,2184
Botswana,539,2199
Botswana,539,2234
Botswana,539,2273
Botswana,539,2342
Botswana,539,2326
Botswana,496,2191
Botswana,496,2198
Botswana,496,2150
Botswana,496,2166
Botswana,496,2184
Botswana,496,2199
Botswana,496,2234
Botswana,496,2273
Botswana,496,2342
Botswana,496,2326
Botswana,502,2191
Botswana,502,2198
Botswana,502,2150
Botswana,502,2166
Botswana,502,2184
Botswana,502,2199
Botswana,502,2234
Botswana,502,2273
Botswana,502,2342
Botswana,502,2326
Burkina Faso,8323,2505
Burkina Faso,8323,2463
Burkina Faso,8323,2559
Burkina Faso,8323,2546
Burkina Faso,8323,2588
Burkina Faso,8323,2639
Burkina Faso,8323,2681
Burkina Faso,8323,2664
Burkina Faso,8323,2707
Burkina Faso,8323,2720
Burkina Faso,9392,2505
Burkina Faso,9392,2463
Burkina Faso,9392,2559
Burkina Faso,9392,2546
Burkina Faso,9392,2588
Burkina Faso,9392,2639
Burkina Faso,9392,2681
Burkina Faso,9392,2664
Burkina Faso,9392,2707
Burkina Faso,9392,2720
Burkina Faso,9393,2505
Burkina Faso,9393,2463
Burkina Faso,9393,2559
Burkina Faso,9393,2546
Burkina Faso,9393,2588
Burkina Faso,9393,2639
Burkina Faso,9393,2681
Burkina Faso,9393,2664
Burkina Faso,9393,2707
Burkina Faso,9393,2720
Burkina Faso,8467,2505
Burkina Faso,8467,2463
Burkina Faso,8467,2559
Burkina Faso,8467,2546
Burkina Faso,8467,2588
Burkina Faso,8467,2639
Burkina Faso,8467,2681
Burkina Faso,8467,2664
Burkina Faso,8467,2707
Burkina Faso,8467,2720
Burkina Faso,10373,2505
Burkina Faso,10373,2463
Burkina Faso,10373,2559
Burkina Faso,10373,2546
Burkina Faso,10373,2588
Burkina Faso,10373,2639
Burkina Faso,10373,2681
Burkina Faso,10373,2664
Burkina Faso,10373,2707
Burkina Faso,10373,2720
Burkina Faso,9607,2505
Burkina Faso,9607,2463
Burkina Faso,9607,2559
